Datetime,Tweet Id,Text,Username
2022-12-31 16:52:11+00:00,1609230952554987524,When the camera is on  donate money  Food and clothes to the poor    Sun Tzu  Art of War  YSRCParty edition ,Indiatruelove
2022-12-31 16:46:03+00:00,1609229409474453504, gtconway3d So funny  this opens the door so that all elected will have to show their taxes  Art Of War  magnificently played ,Gulag1963back
2022-12-31 16:14:57+00:00,1609221580164599809, RbArchibald  shadesisla  SocDoneLeft  EndWokeness They wrote the book on war  Sun tzu  the art of war,IUncommonSenseI
2022-12-31 14:44:00+00:00,1609198694447865866,Sun Tzu Strategies for Selling  How to Use The Art of War to Build Lifelong Customer Relationships 3YKHAWS      Z1CBUGSwfk     FgncGwlFNs,ReannaHeidenre3
2022-12-31 14:38:54+00:00,1609197410567217156, cine  Clasico  Pelicula  retro  The Art of War En  latino   El arte de la guerra PARTE DEL ELENCO  Wesley Snipes Anne Archer Maury Chaykin G NERO   Acci n  action A O 2000 PA S      EEUU  El t tulo hace referencia al antiguo texto chino escrito por el estratega de guerra Sun Tzu     mYT73ez8fl,Vergarahd
2022-12-31 14:33:19+00:00,1609196005664378880,Napoleon and the Operational Art of War Essays in Honor of Donald D  Horward   Revised and Extended Edition   History of Warf QANZAA8      a0uGbujoez     1IQ0rijMVi,CZetta7
2022-12-31 14:32:43+00:00,1609195853452828679, literarybase 1  Il Principe   Niccol  Machiavelli 2  The art of war   Sun Tzu 3  The Stranger   Albert camus 4  Tuhan maha asyik   Sudjiwo Tejo 5  Filsafat Intelijen   AM Hendropriyono,Tioshapaa
2022-12-31 14:22:52+00:00,1609193373352476675,China and Russia are teaching young men about engineering  masculinity  and the art of war   The United States you ll get fired for saying men can t get pregnant   Interested to see which vision of the world wins out ,Mr_VRIL_MAXXED
2022-12-31 14:08:30+00:00,1609189758688788485,The Big Book of War  Includes The Art of War by Sun Tzu  The Greatest Collection 9  HQS3WPY      fs2wp0W7fl     hcFZCfQQrB,rc_wne
2022-12-31 13:55:48+00:00,1609186563170205697,Read your Bible  Read the Art of War   see y all next year     Logging out and into the real world till Wednesday 1 4 2023  ,EmilyPorreca90
2022-12-31 13:55:04+00:00,1609186378482327557, jrmhmoud  1984 by george orwell Prode and prejudice The illiad The odyssey The art of war Beyond good and evil Any fuckin book by Dostoevsky  ,joeakagodza
2022-12-31 13:34:15+00:00,1609181139788251136,Read The Art of War dummies  lol,DangleTrang
2022-12-31 13:28:54+00:00,1609179795257966594,I ve become so accustomed to these surrounding psy ops that I m not sure who s running the  Trump V DeSantis  one  Are we projecting weakness   Art of War  style  Or is the Left using it as hope suppressing  Marxist style division disruption ,KevinRHindley
2022-12-31 13:26:16+00:00,1609179129038913536, Shmeahdaleah I ve become so accustomed to these surrounding psy ops that I m not sure who s running the  Trump V DeSantis  one  Are we projecting weakness   Art of War  style  Or is the Left using it as hope suppressing  Marxist style division disruption ,KevinRHindley
2022-12-31 13:06:02+00:00,1609174039913992192,10  The Art of War by Sun Tzu  Why  Success in a battle does not depend on just weapons and muscles  Winners know taking advantage of the environment matters  How about a promotion in office        oIrDUU4623,urpalram
2022-12-31 13:02:25+00:00,1609173127036125184, mozarros1 Depends one man s peace is another man s suffering  To quell the suffering you d need to go to war  Art of War is simultaneously the Art of Peace for the second party,NotZuZmeister
2022-12-31 12:59:00+00:00,1609172267958939648, ann v dahlgren  Intel Sky Nobody said there is anything wrong with having a civil engineering degree   amp  a bit of hands on experience doesn t make him an expert in the art of war  Happy New Year,ElenaKdotcom
