,tweets;;
#NOM?;;
- i'll give you the sun;;
#NOM?;;
"- the mistake""";;
176,Flurry listening politely to me reading The Picture of Dorian Gray to him ( and mispronouncing too many words Σ(〃▽〃٥) ) https://t.co/OHQDJEQan6;;
177,@on1yforthebrave ‘The Picture Of Dorian Gray’;;
"178,""hiiii !! i’m winnie :D new to #booktwt looking for mutuals :]";;
;;
my favs;;
• the song of achilles ;;
• they both die at the end;;
• crush by richard siken ;;
 tbr; ;
• the picture of dorian gray;;
• six of crows;;
• kafka on the shore;;
;;
pleeease rt or like to be mutuals mwah &lt;33;
"for u! 🍊""";;
179,the picture of dorian gray has BIG a/b/o vibes. all of it. the whole book.;;
180,the picture of dorian gray is so;;
"181,""@jimmyfallon The Dick Picture of Dorian Gray";;
"#AddaWordRuinaMovie""";;
"182,""15% done with The Picture of Dorian Gray, by Oscar Wilde https://t.co/52aDtUJuqk""";;
183,i’m annotating perks of being a wallflower for them and they’re annotating the picture of dorian gray for me https://t.co/7hEWVZSXJi;;
184,just started reading the picture of dorian gray https://t.co/5Bt6oVBFMP;;
"185,""@ClyFer1 If true. The heart hides terrible things. A good illustration is """"The Picture of Dorian Gray"""" by Oscar Wilde. You have to know beyond the surface.""";;
"186,""RT @Louise_Salome_: Some things are more precious ";;
 because they don't last long.;;
You will always be fond of me. ;;
"I represent to you all th…""";;
187,@haoslvr wonwoo would be reading a classic i think so maybe something like peide and prejudice or the picture of dorian gray. for some reason i feel like shua or hao might like crime so maybe sherlock? or something like one of us is lying;;
188,@REPUTATIONLT Just rereading “the picture of Dorian Gray” by Oscar Wilde while i’m waiting on a series of books to arrive in a day or two;;
"189,""// NFSW";;
;;
"THE NUDE PICTURE OF DORIAN GRAY IN DORIAN GAY IS CHANGING OMG ITS FUCKING CHANGING OOMFIES BC HE WAS A BUTCH SYBIL YOOOOOOOOO WHAT THE FUCK THIS IS LITERALLY DORIAN GRAY""";;
"190,""RT @AmunetIves: “The only way to get rid of a temptation is to yield to it. Resist it, and your soul grows sick with longing for the things…""";;
"191,""RT @TheSurrealAri: Hallward’s picture of Dorian Gray is considered by many the ultimate achievement, yet his protege always thought there w…""";;
192,Picture of the Dorian Gray ( it has faded from my head now);;
"193,""Hallward’s picture of Dorian Gray is considered by many the ultimate achievement, yet his protege always thought there was something inelegant about giving immortality to someone else. ";;
"The young artist stared into the mirror and began his self portrait. #vss365 #SciFanSat""";;
"194,""“Nowadays people know the price of everything and the value of nothing.”";;
;;
" -Oscar Wilde, The Picture Of Dorian Gray""";;
"195,""Enjoy Actor/director James Warwick's Earphones Award winning rendition of THE PICTURE OF DORIAN GRAY, his thrilling reading of Agatha Christie's THE MYSTERIOUS AFFAIR AT STYLES, and his nuanced take on THE GOSPEL ACCORDING TO ST. MARK.";;
;;
"SHOP: https://t.co/oJp8zykBev https://t.co/GyOO8Ggo70""";;
"196,""@Narry4lifer they both die at the end, pride and prejudice, the picture of dorian gray, the perks of being a wallflower, 5 feet apart""";;
197,@mediciineva the picture of dorian gray because i love it;;
